Season,Team,Player,Age,Position,Games,Games_Started,Minutes_Played,Field_Goal_Percentage,FG_percentage_on_FGAs_that_are_0_to_3_feet_from_the_basket,FG_percentage_on_FGAs_that_are_3_to_10_feet_from_the_basket,FG_percentage_on_FGAs_that_are_10_to_16_feet_from_the_basket,FG_percentage_on_FGAs_that_are_more_than_16_feet_from_the_basket,FG_percentage_on_FGAs_that_are_3_Pt_FGAs
2014-15,Atlanta Hawks,Kyle Korver,33,SG,75,75,2418,.487,.679,.231,.429,.449,.492
2014-15,Atlanta Hawks,Paul Millsap,29,PF,73,73,2390,.476,.638,.427,.275,.417,.356
2014-15,Atlanta Hawks,Al Horford,28,C,76,76,2318,.538,.748,.407,.458,.494,.306
2014-15,Atlanta Hawks,Jeff Teague,26,PG,73,72,2228,.460,.619,.365,.413,.405,.343
2014-15,Atlanta Hawks,DeMarre Carroll,28,SF,70,69,2189,.487,.657,.468,.357,.463,.395
2014-15,Atlanta Hawks,Dennis Schröder,21,PG,77,10,1516,.427,.544,.340,.341,.381,.351
2014-15,Atlanta Hawks,Kent Bazemore,25,SG,75,10,1324,.426,.606,.320,.158,.381,.364
2014-15,Atlanta Hawks,Mike Scott,26,PF,68,0,1123,.444,.699,.427,.415,.460,.344
2014-15,Atlanta Hawks,Pero Antić,32,C,63,3,1037,.365,.549,.400,.273,.323,.301
2014-15,Atlanta Hawks,Thabo Sefolosha,30,SF,52,7,976,.418,.567,.419,.300,.160,.321
2014-15,Atlanta Hawks,Shelvin Mack,24,PG,55,0,833,.401,.569,.375,.444,.425,.315
2014-15,Atlanta Hawks,Mike Muscala,23,PF,40,8,502,.550,.673,.429,.632,.471,.409
2014-15,Atlanta Hawks,Elton Brand,35,C,36,4,486,.442,.688,.357,.406,.406,.000
2014-15,Atlanta Hawks,John Jenkins,23,SG,24,3,297,.495,.917,.000,.250,.552,.404
2014-15,Atlanta Hawks,Austin Daye,26,SF,8,0,76,.385,.600,.000,.333,.333,.357
2014-15,Atlanta Hawks,Adreian Payne,23,PF,3,0,19,.286,.333,.000,0,1.000,.000
2014-15,Boston Celtics,Avery Bradley,24,SG,77,77,2428,.429,.612,.392,.356,.431,.352
2014-15,Boston Celtics,Evan Turner,26,SG,82,57,2260,.429,.584,.309,.449,.408,.277
2014-15,Boston Celtics,Brandon Bass,29,PF,82,43,1929,.504,.679,.330,.400,.457,.281
2014-15,Boston Celtics,Marcus Smart,20,PG,67,38,1808,.367,.560,.256,.382,.295,.335
2014-15,Boston Celtics,Tyler Zeller,25,C,82,59,1731,.549,.632,.463,.600,.482,0
2014-15,Boston Celtics,Jared Sullinger,22,PF,58,49,1566,.439,.623,.420,.351,.475,.283
